id,sequence,company_id,redirect_form_view_id,inline_form_view_id,token_inline_form_view_id,express_checkout_form_view_id,color,module_id,create_uid,write_uid,code,state,module_state,name,pre_msg,pending_msg,auth_msg,done_msg,cancel_msg,maximum_amount,is_published,allow_tokenization,capture_manually,allow_express_checkout,create_date,write_date,so_reference_type,website_id
1,,1,,,,,4,308,1,1,none,disabled,uninstalled,"{""en_US"": ""Adyen""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
2,,1,,,,,4,310,1,1,none,disabled,uninstalled,"{""en_US"": ""Amazon Payment Services""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
3,,1,,,,,4,311,1,1,none,disabled,uninstalled,"{""en_US"": ""Asiapay""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
4,,1,,,,,4,312,1,1,none,disabled,uninstalled,"{""en_US"": ""Authorize.net""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
5,,1,,,,,4,313,1,1,none,disabled,uninstalled,"{""en_US"": ""Buckaroo""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
6,40,1,,,,,4,315,1,1,none,disabled,uninstalled,"{""en_US"": ""Demo""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
7,,1,,,,,4,316,1,1,none,disabled,uninstalled,"{""en_US"": ""Flutterwave""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
8,,1,,,,,4,317,1,1,none,disabled,uninstalled,"{""en_US"": ""Mercado Pago""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
9,,1,,,,,4,318,1,1,none,disabled,uninstalled,"{""en_US"": ""Mollie""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
10,,1,,,,,4,320,1,1,none,disabled,uninstalled,"{""en_US"": ""PayPal""}",,"{""en_US"": ""<p>Your payment has been successfully processed but is waiting for approval.</p>""}","{""en_US"": ""<p>Your payment has been authorized.</p>""}","{""en_US"": ""<p>Your payment has been successfully processed.</p>""}","{""en_US"": ""<p>Your payment has been cancelled.</p>""}",,,,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457,so_name,
