id,parent_id,res_id,record_alias_domain_id,record_company_id,subtype_id,mail_activity_type_id,author_id,author_guest_id,mail_server_id,create_uid,write_uid,subject,model,record_name,message_type,email_from,message_id,reply_to,email_layout_xmlid,body,is_internal,reply_to_force_new,email_add_signature,date,pinned_at,create_date,write_date
1,,1,,,1,,2,,,1,1,Welcome to Odoo!,discuss.channel,general,email,"""OdooBot"" <odoobot@example.com>",<111130279790452.1713426036.616688966751099-openerp-1-discuss.channel@crm-17>,"""OdooBot"" <odoobot@example.com>",,"<p>Welcome to the #general channel.</p>
            <p>This channel is accessible to all users to <b>easily share company information</b>.</p>",,,t,2024-04-18 07:40:36,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
2,,1,,,2,,2,,,1,1,,hr.department,,notification,"""OdooBot"" <odoobot@example.com>",<174328066613275.1713426045.117601633071899-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,<p>Department created</p>,t,,f,2024-04-18 07:40:45,,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
3,,1,,,2,,2,,,1,1,,hr.employee,,notification,"""OdooBot"" <odoobot@example.com>",<010183345000188.1713426045.159856081008911-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,<p>Employee created</p>,t,,f,2024-04-18 07:40:45,,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
4,,1,,,2,,2,,,1,1,,hr.employee,,notification,"""OdooBot"" <odoobot@example.com>",<609936212536529.1713426045.182929992675781-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,"<span><b>Congratulations!</b> May I recommend you to setup an <a href=""/web#action=hr.plan_wizard_action&amp;active_id=1&amp;active_model=hr.employee&amp;menu_id=111"">onboarding plan?</a></span>",t,,f,2024-04-18 07:40:45,,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
5,,1,,,2,,2,,,1,1,,gamification.badge,,notification,"""OdooBot"" <odoobot@example.com>",<366459104457728.1713426072.642812490463257-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,<p>Gamification Badge created</p>,t,,f,2024-04-18 07:41:12,,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
6,,2,,,2,,2,,,1,1,,gamification.badge,,notification,"""OdooBot"" <odoobot@example.com>",<248010938752590.1713426072.667562246322632-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,<p>Gamification Badge created</p>,t,,f,2024-04-18 07:41:12,,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
7,,3,,,2,,2,,,1,1,,gamification.badge,,notification,"""OdooBot"" <odoobot@example.com>",<325432830122567.1713426072.692422866821289-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,<p>Gamification Badge created</p>,t,,f,2024-04-18 07:41:12,,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
8,,4,,,2,,2,,,1,1,,gamification.badge,,notification,"""OdooBot"" <odoobot@example.com>",<070363810299305.1713426072.708333492279053-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,<p>Gamification Badge created</p>,t,,f,2024-04-18 07:41:12,,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
9,,1,,,2,,2,,,1,1,,gamification.challenge,,notification,"""OdooBot"" <odoobot@example.com>",<503781709505560.1713426072.759916782379150-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,<p>Gamification Challenge created</p>,t,,f,2024-04-18 07:41:12,,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
10,,2,,,2,,2,,,1,1,,gamification.challenge,,notification,"""OdooBot"" <odoobot@example.com>",<490042596862612.1713426072.774097681045532-openerp-message-notify@crm-17>,"""OdooBot"" <odoobot@example.com>",,<p>Gamification Challenge created</p>,t,,f,2024-04-18 07:41:12,,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
